"date","tmax","tmin","prcp","game_id","stadium_id"
"1999-09-12","106","82","0","1999_01_ARI_PHI","PHI99"
"1999-09-12","91","61","0.01","1999_01_BUF_IND","IND99"
"1999-09-12","89","68","0","1999_01_CAR_NO","NOR00"
"1999-09-12","91","69","0","1999_01_CIN_TEN","NAS00"
"1999-09-12","81","60","0","1999_01_DAL_WAS","WAS00"
"1999-09-12","80","54","0","1999_01_DET_SEA","SEA98"
"1999-09-12","79","56","0.24","1999_01_KC_CHI","CHI98"
"1999-09-13","68","37","0","1999_01_MIA_DEN","DEN99"
"1999-09-12","91","67","0","1999_01_MIN_ATL","ATL00"
"1999-09-12","81","61","0","1999_01_NE_NYJ","NYC00"
"1999-09-12","92","75","0","1999_01_NYG_TB","TAM00"
"1999-09-12","67","55","0.02","1999_01_OAK_GB","GNB00"
"1999-09-12","76","50","0","1999_01_PIT_CLE","CLE00"
"1999-09-12","77","72","1.33","1999_01_SF_JAX","JAX00"
"1999-09-19","85","73","0.27","1999_02_ARI_MIA","MIA00"
"1999-09-20","99","60","0","1999_02_ATL_DAL","DAL99"
"1999-09-19","88","59","0.01","1999_02_CLE_TEN","NAS00"
"1999-09-19","74","59","0","1999_02_DEN_KC","KAN00"
"1999-09-19","62","43","0.19","1999_02_GB_DET","DET99"
"1999-09-19","71","49","0","1999_02_IND_NE","BOS99"
"1999-09-19","78","50","0","1999_02_JAX_CAR","CAR00"
"1999-09-19","81","51","0","1999_02_NO_SF","SFO00"
"1999-09-19","75","50","0","1999_02_NYJ_BUF","BUF00"
"1999-09-19","67","39","0","1999_02_OAK_MIN","MIN00"
"1999-09-19","73","49","0","1999_02_PIT_BAL","BAL00"
"1999-09-19","70","47","0","1999_02_SD_CIN","CIN99"
"1999-09-19","80","47","0.1","1999_02_SEA_CHI","CHI98"
"1999-09-19","102","73","0","1999_02_TB_PHI","PHI99"
"1999-09-19","75","58","0","1999_02_WAS_NYG","NYC00"
"1999-09-26","89","63","0","1999_03_ATL_STL","STL00"
"1999-09-26","92","61","0","1999_03_CHI_OAK","OAK00"
"1999-09-26","83","58","0","1999_03_CIN_CAR","CAR00"
"1999-09-26","77","59","0","1999_03_CLE_BAL","BAL00"
"1999-09-26","85","75","0.02","1999_03_DEN_TB","TAM00"
"1999-09-26","79","56","0.06","1999_03_DET_KC","KAN00"
"1999-09-26","67","62","0","1999_03_IND_SD","SDG00"
"1999-09-26","82","58","0.11","1999_03_MIN_GB","GNB00"
"1999-09-26","73","47","0.03","1999_03_NYG_NE","BOS99"
"1999-09-26","80","47","0","1999_03_PHI_BUF","BUF00"
"1999-09-26","87","58","0","1999_03_SEA_PIT","PIT99"
"1999-09-27","99","75","0","1999_03_SF_ARI","PHO99"
"1999-09-26","82","72","1.92","1999_03_TEN_JAX","JAX00"
"1999-09-26","71","53","0","1999_03_WAS_NYJ","NYC00"
"1999-10-03","91","70","0","1999_04_ARI_DAL","DAL99"
"1999-10-03","89","68","0","1999_04_BAL_ATL","ATL00"
"1999-10-04","87","78","0.21","1999_04_BUF_MIA","MIA00"
"1999-10-03","79","57","0","1999_04_CAR_WAS","WAS00"
"1999-10-03","88","54","0","1999_04_JAX_PIT","PIT99"
"1999-10-03","70","61","0","1999_04_KC_SD","SDG00"
"1999-10-03","69","43","0","1999_04_NE_CLE","CLE00"
"1999-10-03","47","41","0.78","1999_04_NO_CHI","CHI98"
"1999-10-03","55","33","0","1999_04_NYJ_DEN","DEN99"
"1999-10-03","69","45","0","1999_04_OAK_SEA","SEA98"
"1999-10-03","75","61","0","1999_04_PHI_NYG","NYC00"
"1999-10-03","43","33","0.18","1999_04_STL_CIN","CIN99"
"1999-10-03","69","43","0","1999_04_TB_MIN","MIN00"
"1999-10-03","54","39","0.67","1999_04_TEN_SF","SFO00"
"1999-10-10","80","73","1.56","1999_05_ATL_NO","NOR00"
"1999-10-10","77","62","0.03","1999_05_BAL_TEN","NAS00"
"1999-10-10","64","40","0.12","1999_05_CHI_MIN","MIN00"
"1999-10-10","64","40","0.12","1999_05_CIN_CLE","CLE00"
"1999-10-10","100","64","0","1999_05_DAL_PHI","PHI99"
"1999-10-10","92","54","0","1999_05_DEN_OAK","OAK00"
"1999-10-11","71","55","0","1999_05_JAX_NYJ","NYC00"
"1999-10-10","70","57","0.02","1999_05_MIA_IND","IND99"
"1999-10-10","82","55","0","1999_05_NE_KC","KAN00"
"1999-10-10","99","70","0","1999_05_NYG_ARI","PHO99"
"1999-10-10","66","57","0.05","1999_05_PIT_BUF","BUF00"
"1999-10-10","75","39","0","1999_05_SD_DET","DET99"
"1999-10-10","78","63","0","1999_05_SF_STL","STL00"
"1999-10-10","69","41","0","1999_05_TB_GB","GNB00"
"1999-10-17","57","45","0.01","1999_06_CAR_SF","SFO00"
"1999-10-17","82","70","0.09","1999_06_CLE_JAX","JAX00"
"1999-10-18","61","46","0.03","1999_06_DAL_NYG","NYC00"
"1999-10-17","51","19","0","1999_06_GB_DEN","DEN99"
"1999-10-17","70","57","0.3","1999_06_IND_NYJ","NYC00"
"1999-10-17","69","48","0","1999_06_MIA_NE","BOS99"
"1999-10-17","51","19","0","1999_06_MIN_DET","DET99"
"1999-10-17","68","46","0.42","1999_06_OAK_BUF","BUF00"
"1999-10-17","52","37","0","1999_06_PHI_CHI","CHI98"
"1999-10-17","53","27","0","1999_06_PIT_CIN","CIN99"
"1999-10-17","77","58","0","1999_06_SEA_SD","SDG00"
"1999-10-17","85","64","0","1999_06_STL_ATL","ATL00"
"1999-10-17","86","65","0","1999_06_TEN_NO","NOR00"
"1999-10-17","80","62","0","1999_06_WAS_ARI","PHO99"
"1999-10-25","91","55","0","1999_07_ATL_PIT","PIT99"
"1999-10-24","58","45","0","1999_07_BUF_SEA","SEA98"
"1999-10-24","69","50","0","1999_07_CHI_TB","TAM00"
"1999-10-24","51","36","0","1999_07_CIN_IND","IND99"
"1999-10-24","54","30","0","1999_07_CLE_STL","STL00"
"1999-10-24","54","38","0","1999_07_DEN_NE","BOS99"
"1999-10-24","58","31","0","1999_07_DET_CAR","CAR00"
"1999-10-24","76","58","0","1999_07_GB_SD","SDG00"
"1999-10-21","62","40","0","1999_07_KC_BAL","BAL00"
"1999-10-24","55","42","0","1999_07_NO_NYG","NYC00"
"1999-10-24","77","46","0","1999_07_NYJ_OAK","OAK00"
"1999-10-24","77","63","0","1999_07_PHI_MIA","MIA00"
"1999-10-24","57","38","0","1999_07_SF_MIN","MIN00"
"1999-10-24","74","43","0","1999_07_WAS_DAL","DAL99"
"1999-10-31","73","44","0","1999_08_BUF_BAL","BAL00"
"1999-10-31","82","64","0","1999_08_CAR_ATL","ATL00"
"1999-10-31","73","53","0","1999_08_CHI_WAS","WAS00"
"1999-10-31","73","68","1.38","1999_08_CLE_NO","NOR00"
"1999-10-31","78","54","0","1999_08_DAL_IND","IND99"
"1999-10-31","69","30","0","1999_08_JAX_CIN","CIN99"
"1999-10-31","79","46","0","1999_08_MIA_OAK","OAK00"
"1999-10-31","77","31","0","1999_08_MIN_DEN","DEN99"
"1999-10-31","89","59","0","1999_08_NE_ARI","PHO99"
"1999-10-31","86","54","0","1999_08_NYG_PHI","PHI99"
"1999-10-31","72","51","0","1999_08_SD_KC","KAN00"
"1999-11-01","70","37","0","1999_08_SEA_GB","GNB00"
"1999-10-31","82","51","0","1999_08_STL_TEN","NAS00"
"1999-10-31","77","31","0","1999_08_TB_DET","DET99"
"1999-11-07","51","37","0","1999_09_ARI_NYJ","NYC00"
"1999-11-07","44","30","0","1999_09_BAL_CLE","CLE00"
"1999-11-07","59","45","0","1999_09_BUF_WAS","WAS00"
"1999-11-07","56","20","0","1999_09_CHI_GB","GNB00"
"1999-11-07","61","49","0","1999_09_CIN_SEA","SEA98"
"1999-11-08","41","23","0","1999_09_DAL_MIN","MIN00"
"1999-11-07","70","60","0","1999_09_DEN_SD","SDG00"
"1999-11-07","78","48","0","1999_09_JAX_ATL","ATL00"
"1999-11-07","59","44","0","1999_09_KC_IND","IND99"
"1999-11-07","75","43","0","1999_09_PHI_CAR","CAR00"
"1999-11-07","50","31","0","1999_09_PIT_SF","SFO00"
"1999-11-07","78","39","0","1999_09_STL_DET","DET99"
"1999-11-07","77","41","0","1999_09_TB_NO","NOR00"
"1999-11-07","80","72","0.01","1999_09_TEN_MIA","MIA00"
"1999-11-14","77","52","0","1999_10_BAL_JAX","JAX00"
"1999-11-14","69","45","0","1999_10_CAR_STL","STL00"
"1999-11-14","84","49","0","1999_10_CLE_PIT","PIT99"
"1999-11-14","62","47","0","1999_10_DEN_SEA","SEA98"
"1999-11-14","91","62","0","1999_10_DET_ARI","PHO99"
"1999-11-14","81","44","0","1999_10_GB_DAL","DAL99"
"1999-11-14","60","44","0","1999_10_IND_NYG","NYC00"
"1999-11-14","79","62","0","1999_10_KC_TB","TAM00"
"1999-11-14","58","39","0","1999_10_MIA_BUF","BUF00"
"1999-11-14","60","29","0","1999_10_MIN_CHI","CHI98"
"1999-11-15","54","35","0.12","1999_10_NYJ_NE","BOS99"
"1999-11-14","68","49","0.02","1999_10_SD_OAK","OAK00"
"1999-11-14","78","51","0.01","1999_10_SF_NO","NOR00"
"1999-11-14","53","26","0","1999_10_TEN_CIN","CIN99"
"1999-11-14","86","57","0","1999_10_WAS_PHI","PHI99"
"1999-11-21","79","62","0","1999_11_ATL_TB","TAM00"
"1999-11-21","59","36","0","1999_11_BAL_CIN","CIN99"
"1999-11-21","61","54","0","1999_11_BUF_NYJ","NYC00"
"1999-11-21","58","34","0.05","1999_11_CAR_CLE","CLE00"
"1999-11-21","65","54","0","1999_11_CHI_SD","SDG00"
"1999-11-21","71","51","0","1999_11_DAL_ARI","PHO99"
"1999-11-21","49","33","0","1999_11_DET_GB","GNB00"
"1999-11-21","77","55","0","1999_11_IND_PHI","PHI99"
"1999-11-21","79","65","0","1999_11_NE_MIA","MIA00"
"1999-11-21","71","57","0.41","1999_11_NO_JAX","JAX00"
"1999-11-21","73","46","0","1999_11_NYG_WAS","WAS00"
"1999-11-22","31","25","0.36","1999_11_OAK_DEN","DEN99"
"1999-11-21","68","49","0","1999_11_PIT_TEN","NAS00"
"1999-11-21","64","41","0","1999_11_SEA_KC","KAN00"
"1999-11-21","50","42","0","1999_11_STL_SF","SFO00"
"1999-11-28","50","43","0","1999_12_ARI_NYG","NYC00"
"1999-11-28","68","34","0","1999_12_ATL_CAR","CAR00"
"1999-11-25","50","24","0","1999_12_CHI_DET","DET99"
"1999-11-28","78","42","0","1999_12_CIN_PIT","PIT99"
"1999-11-29","40","27","0","1999_12_GB_SF","SFO00"
"1999-11-28","52","34","0","1999_12_JAX_BAL","BAL00"
"1999-11-28","61","45","0","1999_12_KC_OAK","OAK00"
"1999-11-25","57","36","0.27","1999_12_MIA_DAL","DAL99"
"1999-11-28","41","35","0","1999_12_NE_BUF","BUF00"
"1999-11-28","48","35","0","1999_12_NO_STL","STL00"
"1999-11-28","50","28","0","1999_12_NYJ_IND","IND99"
"1999-11-28","54","44","0","1999_12_PHI_WAS","WAS00"
"1999-11-28","49","32","0","1999_12_SD_MIN","MIN00"
"1999-11-28","59","42","0","1999_12_TB_SEA","SEA98"
"1999-11-28","49","32","0","1999_12_TEN_CLE","CLE00"
"1999-12-05","67","45","0","1999_13_CLE_SD","SDG00"
"1999-12-05","48","43","0.03","1999_13_DAL_NE","BOS99"
"1999-12-05","47","30","0.95","1999_13_GB_CHI","CHI98"
"1999-12-05","77","67","0.18","1999_13_IND_MIA","MIA00"
"1999-12-05","41","15","0","1999_13_KC_DEN","DEN99"
"1999-12-06","73","54","0.09","1999_13_MIN_TB","TAM00"
"1999-12-05","76","46","0.08","1999_13_NO_ATL","ATL00"
"1999-12-05","63","51","0","1999_13_NYJ_NYG","NYC00"
"1999-12-05","70","40","0","1999_13_PHI_ARI","PHO99"
"1999-12-02","60","26","0","1999_13_PIT_JAX","JAX00"
"1999-12-05","57","37","0","1999_13_SEA_OAK","OAK00"
"1999-12-05","37","20","0","1999_13_SF_CIN","CIN99"
"1999-12-05","71","38","0.01","1999_13_STL_CAR","CAR00"
"1999-12-05","68","39","0","1999_13_TEN_BAL","BAL00"
"1999-12-05","41","15","0","1999_13_WAS_DET","DET99"
"1999-12-12","53","33","0","1999_14_ARI_WAS","WAS00"
"1999-12-12","40","31","0","1999_14_ATL_SF","SFO00"
"1999-12-12","75","38","0","1999_14_BAL_PIT","PIT99"
"1999-12-12","39","22","0","1999_14_CAR_GB","GNB00"
"1999-12-12","48","22","0","1999_14_CLE_CIN","CIN99"
"1999-12-13","73","61","0.22","1999_14_DEN_JAX","JAX00"
"1999-12-12","80","65","0","1999_14_DET_TB","TAM00"
"1999-12-12","46","35","0","1999_14_MIA_NYJ","NYC00"
"1999-12-12","47","31","0","1999_14_MIN_KC","KAN00"
"1999-12-12","41","36","0.2","1999_14_NE_IND","IND99"
"1999-12-12","40","23","0","1999_14_NYG_BUF","BUF00"
"1999-12-09","66","47","0.14","1999_14_OAK_TEN","NAS00"
"1999-12-12","70","52","0.14","1999_14_PHI_DAL","DAL99"
"1999-12-12","48","37","0.86","1999_14_SD_SEA","SEA98"
"1999-12-12","74","61","0.15","1999_14_STL_NO","NOR00"
"1999-12-19","58","45","0","1999_15_ATL_TEN","NAS00"
"1999-12-19","70","42","0","1999_15_BUF_ARI","PHO99"
"1999-12-19","40","23","0","1999_15_DET_CHI","CHI98"
"1999-12-20","46","13","0.3","1999_15_GB_MIN","MIN00"
"1999-12-19","32","12","0","1999_15_JAX_CLE","CLE00"
"1999-12-19","70","46","0","1999_15_NE_PHI","PHI99"
"1999-12-19","44","37","0","1999_15_NO_BAL","BAL00"
"1999-12-19","47","25","0","1999_15_NYG_STL","STL00"
"1999-12-19","68","35","0","1999_15_NYJ_DAL","DAL99"
"1999-12-18","33","22","0","1999_15_PIT_KC","KAN00"
"1999-12-19","84","71","0","1999_15_SD_MIA","MIA00"
"1999-12-19","35","15","0","1999_15_SEA_DEN","DEN99"
"1999-12-18","61","25","0","1999_15_SF_CAR","CAR00"
"1999-12-19","71","34","0","1999_15_TB_OAK","OAK00"
"1999-12-19","45","29","0.07","1999_15_WAS_IND","IND99"
"1999-12-26","58","26","0","1999_16_ARI_ATL","ATL00"
"1999-12-26","25","7","0","1999_16_BUF_NE","BOS99"
"1999-12-26","77","39","0","1999_16_CAR_PIT","PIT99"
"1999-12-26","44","29","0","1999_16_CHI_STL","STL00"
"1999-12-26","44","21","0","1999_16_CIN_BAL","BAL00"
"1999-12-24","64","31","0","1999_16_DAL_NO","NOR00"
"1999-12-25","55","29","0","1999_16_DEN_DET","DET99"
"1999-12-26","58","35","0","1999_16_GB_TB","TAM00"
"1999-12-26","33","16","0","1999_16_IND_CLE","CLE00"
"1999-12-26","52","26","0","1999_16_JAX_TEN","NAS00"
"1999-12-26","39","30","0","1999_16_KC_SEA","SEA98"
"1999-12-26","35","25","0","1999_16_MIN_NYG","NYC00"
"1999-12-27","71","45","0","1999_16_NYJ_MIA","MIA00"
"1999-12-26","71","48","0","1999_16_OAK_SD","SDG00"
"1999-12-26","34","24","0","1999_16_WAS_SF","SFO00"
"2000-01-02","34","29","0.04","1999_17_ARI_GB","GNB00"
"2000-01-02","47","29","0","1999_17_BAL_NE","BOS99"
"2000-01-02","77","50","0","1999_17_CIN_JAX","JAX00"
"2000-01-02","39","27","0.03","1999_17_DET_MIN","MIN00"
"2000-01-02","58","33","0.1","1999_17_IND_BUF","BUF00"
"2000-01-02","68","44","0","1999_17_MIA_WAS","WAS00"
"2000-01-02","68","46","0","1999_17_NO_CAR","CAR00"
"2000-01-02","81","69","0","1999_17_NYG_DAL","DAL99"
"2000-01-02","58","28","0","1999_17_OAK_KC","KAN00"
"2000-01-02","42","17","0.02","1999_17_SD_DEN","DEN99"
"2000-01-02","60","43","0","1999_17_SEA_NYJ","NYC00"
"2000-01-03","78","52","0","1999_17_SF_ATL","ATL00"
"2000-01-02","63","48","0","1999_17_STL_PHI","PHI99"
"2000-01-02","60","35","0.01","1999_17_TB_CHI","CHI98"
"2000-01-02","61","39","0.09","1999_17_TEN_PIT","PIT99"
"2000-01-08","48","28","0.01","1999_18_BUF_TEN","NAS00"
"2000-01-09","46","26","0","1999_18_DAL_MIN","MIN00"
"2000-01-08","45","30","0","1999_18_DET_WAS","WAS00"
"2000-01-09","44","35","0.19","1999_18_MIA_SEA","SEA98"
"2000-01-15","58","30","0","1999_19_MIA_JAX","JAX00"
"2000-01-16","56","31","0","1999_19_MIN_STL","STL00"
"2000-01-16","49","27","0","1999_19_TEN_IND","IND99"
"2000-01-15","67","41","0","1999_19_WAS_TB","TAM00"
"2000-01-23","32","15","0.01","1999_20_TB_STL","STL00"
"2000-01-23","76","43","1.2","1999_20_TEN_JAX","JAX00"
"2000-01-30","42","31","0.21","1999_21_STL_TEN","ATL00"
"2000-09-03","84","73","0.74","2000_01_ARI_NYG","NYC00"
"2000-09-03","86","56","0","2000_01_BAL_PIT","PIT99"
"2000-09-03","84","73","0.1","2000_01_CAR_WAS","WAS00"
"2000-09-03","66","61","0","2000_01_CHI_MIN","MIN00"
"2000-09-04","83","64","0","2000_01_DEN_STL","STL00"
"2000-09-03","89","73","0.07","2000_01_DET_NO","NOR00"
"2000-09-03","98","76","0","2000_01_IND_KC","KAN00"
"2000-09-03","66","61","0","2000_01_JAX_CLE","CLE00"
"2000-09-03","79","56","0.59","2000_01_NYJ_GB","GNB00"
"2000-09-03","105","78","0.04","2000_01_PHI_DAL","DAL99"
"2000-09-03","80","56","0","2000_01_SD_OAK","OAK00"
"2000-09-03","90","79","0","2000_01_SEA_MIA","MIA00"
"2000-09-03","89","71","0","2000_01_SF_ATL","ATL00"
"2000-09-03","74","59","0.02","2000_01_TB_NE","BOS99"
"2000-09-03","79","65","0","2000_01_TEN_BUF","BUF00"
"2000-09-10","89","54","0","2000_02_ATL_DEN","DEN99"
"2000-09-10","76","64","1.65","2000_02_CAR_SF","SFO00"
"2000-09-10","94","77","0","2000_02_CHI_TB","TAM00"
"2000-09-10","78","69","0.09","2000_02_CLE_CIN","CIN00"
"2000-09-10","100","81","0","2000_02_DAL_ARI","PHO99"
"2000-09-10","82","64","0.22","2000_02_GB_BUF","BUF00"
"2000-09-10","85","62","0","2000_02_JAX_BAL","BAL00"
"2000-09-10","89","71","0.09","2000_02_KC_TEN","NAS00"
"2000-09-10","75","52","0","2000_02_MIA_MIN","MIN00"
"2000-09-11","77","67","0","2000_02_NE_NYJ","NYC00"
"2000-09-10","75","62","0","2000_02_NO_SD","SDG00"
"2000-09-10","104","71","0","2000_02_NYG_PHI","PHI99"
"2000-09-10","77","70","1.7","2000_02_OAK_IND","IND99"
"2000-09-10","61","51","0.3","2000_02_STL_SEA","SEA99"
"2000-09-10","89","54","0","2000_02_WAS_DET","DET99"
"2000-09-17","71","47","0","2000_03_ATL_CAR","CAR00"
"2000-09-17","89","73","0.56","2000_03_BAL_MIA","MIA00"
"2000-09-17","69","52","0","2000_03_BUF_NYJ","NYC00"
"2000-09-17","77","70","0.81","2000_03_CIN_JAX","JAX00"
"2000-09-18","72","55","0","2000_03_DAL_WAS","WAS00"
"2000-09-17","97","57","0","2000_03_DEN_OAK","OAK00"
"2000-09-17","67","45","0","2000_03_MIN_NE","BOS99"
"2000-09-17","72","54","0","2000_03_NO_SEA","SEA99"
"2000-09-17","80","55","0","2000_03_NYG_CHI","CHI98"
"2000-09-17","73","49","0","2000_03_PHI_GB","GNB00"
"2000-09-17","65","46","0","2000_03_PIT_CLE","CLE00"
"2000-09-17","83","53","0","2000_03_SF_STL","STL00"
"2000-09-17","95","62","0","2000_03_TB_DET","DET99"
"2000-09-24","82","61","0","2000_04_CIN_BAL","BAL00"
"2000-09-24","86","53","0","2000_04_CLE_OAK","OAK00"
"2000-09-24","56","49","0.13","2000_04_DET_CHI","CHI98"
"2000-09-24","91","67","0","2000_04_GB_ARI","PHO99"
"2000-09-25","57","46","1.3","2000_04_JAX_IND","IND99"
"2000-09-24","42","29","0.21","2000_04_KC_DEN","DEN99"
"2000-09-24","89","79","0","2000_04_NE_MIA","MIA00"
"2000-09-24","90","76","0.23","2000_04_NYJ_TB","TAM00"
"2000-09-24","88","76","0","2000_04_PHI_NO","NOR00"
"2000-09-24","75","61","0","2000_04_SEA_SD","SDG00"
"2000-09-24","95","67","0.15","2000_04_SF_DAL","DAL99"
"2000-09-24","87","69","0","2000_04_STL_ATL","ATL00"
"2000-09-24","90","54","0","2000_04_TEN_PIT","PIT99"
"2000-09-24","75","58","0","2000_04_WAS_NYG","NYC00"
"2000-10-01","76","51","0","2000_05_ARI_SF","SFO00"
"2000-10-01","103","73","0","2000_05_ATL_PHI","PHI99"
"2000-10-01","67","39","0","2000_05_BAL_CLE","CLE00"
"2000-10-01","74","55","0.01","2000_05_CHI_GB","GNB00"
"2000-10-01","74","52","0","2000_05_DAL_CAR","CAR00"
"2000-10-01","72","51","0","2000_05_IND_BUF","BUF00"
"2000-10-01","76","51","0","2000_05_MIA_CIN","CIN00"
"2000-10-01","83","56","0","2000_05_MIN_DET","DET99"
"2000-10-01","83","56","0","2000_05_NE_DEN","DEN99"
"2000-10-01","79","56","0","2000_05_NYG_TEN","NAS00"
"2000-10-01","79","62","0.01","2000_05_PIT_JAX","JAX00"
"2000-10-01","84","62","0","2000_05_SD_STL","STL00"
"2000-10-02","82","57","0","2000_05_SEA_KC","KAN00"
"2000-10-01","69","53","0","2000_05_TB_WAS","WAS00"
"2000-10-08","73","55","0","2000_06_BAL_JAX","JAX00"
"2000-10-08","87","69","0","2000_06_CLE_ARI","PHO99"
"2000-10-08","72","66","0","2000_06_DEN_SD","SDG00"
"2000-10-08","52","32","0","2000_06_GB_DET","DET99"
"2000-10-08","59","37","0","2000_06_IND_NE","BOS99"
"2000-10-08","46","31","0","2000_06_NO_CHI","CHI98"
"2000-10-08","61","45","0","2000_06_NYG_ATL","ATL00"
"2000-10-08","45","37","0","2000_06_OAK_SF","SFO00"
"2000-10-08","54","41","0","2000_06_PIT_NYJ","NYC00"
"2000-10-08","53","37","0","2000_06_SEA_CAR","CAR00"
"2000-10-09","44","34","0","2000_06_TB_MIN","MIN00"
"2000-10-08","49","29","0","2000_06_TEN_CIN","CIN00"
"2000-10-08","96","68","0","2000_06_WAS_PHI","PHI99"
"2000-10-15","66","59","0.24","2000_07_ATL_STL","STL00"
"2000-10-15","80","52","0","2000_07_BAL_WAS","WAS00"
"2000-10-15","78","49","0.01","2000_07_CAR_NO","NOR00"
"2000-10-15","83","48","0","2000_07_CIN_PIT","PIT99"
"2000-10-15","66","29","0","2000_07_CLE_DEN","DEN99"
"2000-10-15","76","62","0","2000_07_DAL_NYG","NYC00"
"2000-10-15","54","40","0","2000_07_IND_SEA","SEA99"
"2000-10-16","81","54","0","2000_07_JAX_TEN","NAS00"
"2000-10-15","64","45","0.08","2000_07_MIN_CHI","CHI98"
"2000-10-15","79","58","0","2000_07_NYJ_NE","BOS99"
"2000-10-15","64","55","0","2000_07_OAK_KC","KAN00"
"2000-10-15","84","58","0","2000_07_PHI_ARI","PHO99"
"2000-10-15","65","51","0.02","2000_07_SD_BUF","BUF00"
"2000-10-15","55","44","0","2000_07_SF_GB","GNB00"
"2000-10-22","82","67","0.27","2000_08_ARI_DAL","DAL99"
"2000-10-22","53","35","0","2000_08_BUF_MIN","MIN00"
"2000-10-22","86","59","0.25","2000_08_CHI_PHI","PHI99"
"2000-10-22","77","54","0","2000_08_CLE_PIT","PIT99"
"2000-10-22","74","56","0","2000_08_DEN_CIN","CIN00"
"2000-10-19","87","61","0","2000_08_DET_TB","TAM00"
"2000-10-23","59","42","0","2000_08_MIA_NYJ","NYC00"
"2000-10-22","72","55","0","2000_08_NE_IND","IND99"
"2000-10-22","82","57","0","2000_08_NO_ATL","ATL00"
"2000-10-22","74","55","0","2000_08_SEA_OAK","OAK00"
"2000-10-22","81","51","0","2000_08_SF_CAR","CAR00"
"2000-10-22","67","59","0.26","2000_08_STL_KC","KAN00"
"2000-10-22","68","41","0","2000_08_TEN_BAL","BAL00"
"2000-10-22","79","62","0","2000_08_WAS_JAX","JAX00"
"2000-10-29","83","60","0","2000_09_CAR_ATL","ATL00"
"2000-10-29","36","33","0.02","2000_09_CIN_CLE","CLE00"
"2000-10-29","61","38","0","2000_09_DET_IND","IND99"
"2000-10-29","83","67","0","2000_09_GB_MIA","MIA00"
"2000-10-29","82","66","0.68","2000_09_JAX_DAL","DAL99"
"2000-10-29","56","46","0.01","2000_09_KC_SEA","SEA99"
"2000-10-29","83","62","0","2000_09_MIN_TB","TAM00"
"2000-10-29","72","55","0","2000_09_NO_ARI","PHO99"
"2000-10-29","49","31","0","2000_09_NYJ_BUF","BUF00"
"2000-10-29","67","58","0.5","2000_09_OAK_SD","SDG00"
"2000-10-29","46","36","0.01","2000_09_PHI_NYG","NYC00"
"2000-10-29","59","32","0","2000_09_PIT_BAL","BAL00"
"2000-10-29","56","32","0","2000_09_STL_SF","SFO00"
"2000-10-30","63","41","0","2000_09_TEN_WAS","WAS00"
"2000-11-05","57","30","0","2000_10_BAL_CIN","CIN00"
"2000-11-05","59","42","0.01","2000_10_BUF_NE","BOS99"
"2000-11-05","62","40","0","2000_10_CAR_STL","STL00"
"2000-11-05","75","50","0","2000_10_DAL_PHI","PHI99"
"2000-11-05","52","45","0","2000_10_DEN_NYJ","NYC00"
"2000-11-05","60","31","0","2000_10_IND_CHI","CHI98"
"2000-11-05","70","50","0","2000_10_KC_OAK","OAK00"
"2000-11-05","47","22","0.43","2000_10_MIA_DET","DET99"
"2000-11-06","53","46","0.18","2000_10_MIN_GB","GNB00"
"2000-11-05","47","41","0.44","2000_10_NYG_CLE","CLE00"
"2000-11-05","67","41","0","2000_10_PIT_TEN","NAS00"
"2000-11-05","49","44","0.04","2000_10_SD_SEA","SEA99"
"2000-11-05","80","66","0.18","2000_10_SF_NO","NOR00"
"2000-11-05","71","62","0","2000_10_TB_ATL","ATL00"
"2000-11-05","67","52","0","2000_10_WAS_ARI","PHO99"
"2000-11-12","57","37","0","2000_11_ARI_MIN","MIN00"
"2000-11-12","21","2","0","2000_11_ATL_DET","DET99"
"2000-11-12","62","32","0","2000_11_BAL_TEN","NAS00"
"2000-11-12","41","37","0","2000_11_CHI_BUF","BUF00"
"2000-11-12","78","52","0.48","2000_11_CIN_DAL","DAL99"
"2000-11-12","77","55","0","2000_11_GB_TB","TAM00"
"2000-11-12","45","40","0","2000_11_KC_SF","SFO00"
"2000-11-12","62","46","0","2000_11_MIA_SD","SDG00"
"2000-11-12","57","37","0","2000_11_NE_CLE","CLE00"
"2000-11-12","62","38","0","2000_11_NO_CAR","CAR00"
"2000-11-12","52","33","0","2000_11_NYJ_IND","IND99"
"2000-11-13","30","3","0","2000_11_OAK_DEN","DEN99"
"2000-11-12","66","37","0","2000_11_PHI_PIT","PIT99"
"2000-11-12","72","41","0","2000_11_SEA_JAX","JAX00"
"2000-11-12","53","43","0","2000_11_STL_NYG","NYC00"
"2000-11-19","66","37","0","2000_12_ARI_PHI","PHI99"
"2000-11-19","39","30","0","2000_12_ATL_SF","SFO00"
"2000-11-19","47","28","0","2000_12_BUF_KC","KAN00"
"2000-11-19","44","21","0","2000_12_CAR_MIN","MIN00"
"2000-11-19","44","29","0","2000_12_CIN_NE","BOS99"
"2000-11-19","51","31","0","2000_12_CLE_TEN","NAS00"
"2000-11-19","39","24","0","2000_12_DAL_BAL","BAL00"
"2000-11-19","41","34","0","2000_12_DET_NYG","NYC00"
"2000-11-19","32","23","0.15","2000_12_IND_GB","GNB00"
"2000-11-19","83","36","0","2000_12_JAX_PIT","PIT99"
"2000-11-19","85","70","0.02","2000_12_NYJ_MIA","MIA00"
